Distributors,Brands,Item Names,Draft/Package,Current On Hand in Case Equivs,Projected Daily Rate of Sales,Projected Days on Hand,90 Days 4/23/2026 thru 7/21/2026 Case Equivs,90 Days 4/23/2025 thru 7/21/2025 Case Equivs,Pct,90 Days  7/22/2025 thru 10/19/2025 Case Equivs,Projected 90 Days Sales Case Equivs,Projected Order in Case Equivs,Last Sale Date
"Doll Dist - Des Moines, IA",Oktoberfest,Oktoberfest 1/6 Barrel Keg,DRAFT,0,2.318814555556,0,0,0,--,208.69331,208.69331,208.69331,10/03/2025
"Doll Dist - Des Moines, IA",Burch the Bear,Burch the Bear 1/6 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,04/16/2026
"Doll Dist - Des Moines, IA",Burch the Bear,Burch The Bear 4/6/12oz can,PACKAGE,0,0,0,0,0,--,0,0,0,04/22/2026
"Doll Dist - Des Moines, IA",Burch the Bear,Burch the Bear 1/2 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,12/11/2025
"Doll Dist - Des Moines, IA",Richard the Whale,Richard the Whale 1/6 Barrel,DRAFT,0,0,0,0,0,--,0,0,0,02/16/2026
"Doll Dist - Des Moines, IA",West Eddy,West Eddy 1/6 Barrel Keg,DRAFT,0,0,0,0,0,--,0,0,0,02/19/2025
"Doll Dist - Des Moines, IA",West Eddy,West Eddy 4/6/12oz Can,PACKAGE,0,0,0,0,0,--,0,0,0,09/03/2025
"Doll Dist - Des Moines, IA",West Eddy,West Eddy 2/12/12oz Can,PACKAGE,0,0,0,0,0,--,0,0,0,04/19/2024
"Doll Dist - Des Moines, IA",West Eddy,West Eddy 1/2 Barrel Keg,DRAFT,0,0,0,0,0,--,0,0,0,02/13/2025
"Doll Dist - Des Moines, IA",Sweet Spot Hard Iced Tea,Sweet Spot Hard Iced Tea 6/4/12oz Can,PACKAGE,0,0.180017226529,0,38,129,-0.705426356589,55,16.201550387605,16.201550387605,07/09/2026
